review_id,review_text
R00096,Used it as a check-in bag for about eight months and then the handle started sticking halfway. Disappointing for what it cost.
R00097,Had this a month. Mainly use it on a long airport day. The outsole grip is the part that impressed me most.
R00098,"Great, arrived on time and works well."
R00099,"Great watch, quality is excellent and delivery was quick. Happy to recommend."
R00100,"Great pair of sunglasses, quality is excellent and delivery was quick. Happy to recommend."
R00101,Terrible product. Complete waste of money. Do not buy this. Very bad quality.
R00102,Worst purchase. Poor quality item. Totally disappointed. Not recommended at all.
R00103,Decent product for the price. Satisfied.
R00104,Been using this at the gym for about about eight months now and the clasp has held up well. No complaints so far.
R00105,Worked fine at first but after about eight months the strap padding compressed. The chest clip was the weak point.
R00106,Excellent case. The quality is really good and it came fast. Recommended.
R00107,"This suitcase is great quality and arrived fast. Very happy with it, recommended."
R00108,Been using this on a week of travel for about half a year now and the shoulder straps has held up well. No complaints so far.
R00109,"Using it for daily vegetable prep for two weeks. The grip does exactly what it needs to, nothing fancy but it works."
R00110,Excellent! Very good product with superb finishing. Worth every penny!
R00111,"Very good, exactly what I wanted. Thanks!"
R00112,Been using this while studying late for about three months now and the gas lift has held up well. No complaints so far.
R00113,"Does the job for floor workouts. Not perfect, it started flaking at the edges eventually, but for the price it is acceptable."
R00114,"Using it for driving for three months. The hinge screws does exactly what it needs to, nothing fancy but it works."
R00115,Been using this for daily vegetable prep for about two weeks now and the bolster has held up well. No complaints so far.
R00116,"Bought it as a daily watch. The crown is better than I expected for the price, still solid after six weeks."
R00117,Using it as a work bag for about eight months now. The inner lining is well made and everything still works perfectly.
R00118,"Bought it at the gym. The crown is better than I expected for the price, still solid after a month."
R00119,"Bought it for work calls. The touch controls is better than I expected for the price, still solid after two weeks."
R00120,"Perfect product, exactly as described. Excellent quality. Highly satisfied!"
R00121,"Using it alongside an existing routine for a month. The jar seal does exactly what it needs to, nothing fancy but it works."
R00122,"Bought it in a home office. The castor wheels is better than I expected for the price, still solid after a month."
R00123,"Very happy with this mat. Great quality, quick delivery. Would recommend."
R00124,"Bought it on a glass desk. Within two weeks the scroll wheel got notchy, so I would not buy again."
R00125,Been using this for work calls for four months and the charging case hinge still looks new. Genuinely impressed with the build.
R00126,"Very happy with this pair of shoes. Great quality, quick delivery. Would recommend."
R00127,"Good product, works fine. Happy with it."
R00128,Had this six weeks. Mainly use it in a home office. The gas lift is the part that impressed me most.
R00129,"This mat is great quality and arrived fast. Very happy with it, recommended."
R00130,"Works well, no issues so far. Good value."
R00131,Had it about eight months as a daily watch. The crystal has held up better than the last one I owned. Very pleased.
R00132,"Using it for daily gym use for six weeks. The carry loop does exactly what it needs to, nothing fancy but it works."
R00133,Amazing product! Excellent quality and superb value. Highly recommend to everyone!
R00134,"Using it for daily morning practice for six weeks. The surface texture does exactly what it needs to, nothing fancy but it works."
R00135,Mixed feelings. The spout is good but after about eight months the threading cross-threads easily. Fine if you use it lightly.
R00136,"This suitcase is great quality and arrived fast. Very happy with it, recommended."
R00137,"Bought it for daily college carry. Within half a year the base fabric started fraying, so I would not buy again."
R00138,"Using it with a screen protector fitted for six weeks. The inner lining does exactly what it needs to, nothing fancy but it works."
R00139,"Nice quality, does the job. Recommend."
R00140,Had this a month. Mainly use it on a work site. The button covers is the part that impressed me most.
R00141,Excellent speaker. The quality is really good and it came fast. Recommended.
R00142,Had this three months. Mainly use it as a check-in bag. The telescopic handle is the part that impressed me most.
R00143,"Using it in a car cup holder for half a year. The threading does exactly what it needs to, nothing fancy but it works."
R00144,"Solid buy, no complaints at all."
R00145,"Bought it on a two week trip. The shell corners is better than I expected for the price, still solid after about eight months."
R00146,Had it four months for daily commuting. The base studs has held up better than the last one I owned. Very pleased.
R00147,"Does the job through a dry winter. Not perfect, it broke me out after a fortnight eventually, but for the price it is acceptable."
R00148,"This mouse is great quality and arrived fast. Very happy with it, recommended."
R00149,Been using this after a waist height drop onto tile for about a month now and the port cutout has held up well. No complaints so far.
R00150,"Great speaker, quality is excellent and delivery was quick. Happy to recommend."
R00151,"Decent while cooking dinner, though developed a rattle in the bass after two weeks. The bass driver is still holding up at least."
R00152,"Does the job for daily office work. Not perfect, the glide feet wore down eventually, but for the price it is acceptable."
R00153,"Solid buy, no complaints at all."
R00154,"Best purchase ever. Perfect in every way. Five stars, will buy again!"
R00155,"This bag is great quality and arrived fast. Very happy with it, recommended."
R00156,Really happy with this pair of shoes. The quality is great and it arrived quickly. Recommended.
R00157,"Using it when breaking down a chicken for a month. The tang does exactly what it needs to, nothing fancy but it works."
R00158,"Very good, exactly what I wanted. Thanks!"
R00159,Worked fine at first but after a month the heel lining wore through. The toe box was the weak point.
R00160,"Good product, works fine. Happy with it."
R00161,Been using this on sensitive skin for four months and the texture still looks new. Genuinely impressed with the build.
R00162,Picked this up for a daily walk to work. After half a year the outsole grip shows no wear at all. Exactly what I hoped for.
R00163,Had this six weeks. Mainly use it on wet pavement. The insole is the part that impressed me most.
R00164,Been using this on a work site for about two weeks now and the port cutout has held up well. No complaints so far.
R00165,"Bought it during workouts. The mic is better than I expected for the price, still solid after half a year."
R00166,Outstanding quality! Exceeded all my expectations. Fast delivery too. Recommended!
R00167,Really happy with this set. The quality is great and it arrived quickly. Recommended.
R00168,Been using this alongside an existing routine for about half a year now and the consistency has held up well. No complaints so far.
R00169,Superb! Fantastic quality and amazing value for money. Very happy with this purchase!
R00170,Excellent! Very good product with superb finishing. Worth every penny!
R00171,"Bought it for daily gym use. Within about eight months it started leaking at the lid, so I would not buy again."
R00172,"Using it on hikes for six weeks. The inner coating does exactly what it needs to, nothing fancy but it works."
R00173,"Bought it for gaming. The side buttons is better than I expected for the price, still solid after two weeks."
R00174,Really happy with this watch. The quality is great and it arrived quickly. Recommended.
R00175,"Using it alongside an existing routine for about eight months. The texture does exactly what it needs to, nothing fancy but it works."
R00176,Used it with a laptop while travelling for half a year and then the left click started double-clicking. Disappointing for what it cost.
R00177,"Great set of earbuds, quality is excellent and delivery was quick. Happy to recommend."
R00178,"Bought it while cycling. Within four months the arms lost their tension, so I would not buy again."
R00179,Been using this in the shower for about half a year now and the pairing button has held up well. No complaints so far.
R00180,Used it in a home office for six weeks and then an armrest developed play. Disappointing for what it cost.
R00181,"Decent for gym sessions, though the heel lining wore through after a month. The heel counter is still holding up at least."
R00182,"Using it on a work site for two weeks. The port cutout does exactly what it needs to, nothing fancy but it works."
R00183,Decent product for the price. Satisfied.
R00184,Had this a month. Mainly use it in a heated class. The foam density is the part that impressed me most.
R00185,"This backpack is great quality and arrived fast. Very happy with it, recommended."
R00186,Wonderful item! Top quality and great service. Would definitely recommend!
R00187,"This speaker is great quality and arrived fast. Very happy with it, recommended."
R00188,"Solid buy, no complaints at all."
R00189,Amazing product! Excellent quality and superb value. Highly recommend to everyone!
R00190,"Bought it as a nightly routine. The consistency is better than I expected for the price, still solid after about eight months."
R00191,Had this about eight months. Mainly use it for a formal event. The strap pins is the part that impressed me most.
R00192,Really happy with this knife set. The quality is great and it arrived quickly. Recommended.
R00193,"This case is great quality and arrived fast. Very happy with it, recommended."
R00194,"Does the job on hikes. Not perfect, the coating flaked inside eventually, but for the price it is acceptable."
R00195,About six weeks in and lost pairing every few minutes. The rubber seal clearly was not built for regular use.
R00196,"Solid buy, no complaints at all."
R00197,Picked this up when breaking down a chicken. After two weeks the handle rivets shows no wear at all. Exactly what I hoped for.
R00198,"Works well, no issues so far. Good value."
R00199,Worked fine at first but after three months a castor cracked. The lumbar support was the weak point.
R00200,Worked fine at first but after about eight months the zip started catching. The magnetic clasp was the weak point.
R00201,Used it on a long airport day for three months and then the heel lining wore through. Disappointing for what it cost.
R00202,"Bought it when breaking down a chicken. The grip is better than I expected for the price, still solid after half a year."
R00203,About half a year in and the zip started catching. The inner lining clearly was not built for regular use.
R00204,"Perfect product, exactly as described. Excellent quality. Highly satisfied!"
R00205,"Great, arrived on time and works well."
R00206,"Using it as a check-in bag for half a year. The spinner wheels does exactly what it needs to, nothing fancy but it works."
R00207,Had this half a year. Mainly use it for daily gym use. The threading is the part that impressed me most.
R00208,"Nice quality, does the job. Recommend."
R00209,"Decent on a glass desk, though the scroll wheel got notchy after half a year. The scroll wheel is still holding up at least."
R00210,Been using this through a dry winter for about half a year now and the jar seal has held up well. No complaints so far.
R00211,"Very good, exactly what I wanted. Thanks!"
R00212,"Using it for floor workouts for a month. The surface texture does exactly what it needs to, nothing fancy but it works."
R00213,Worked fine at first but after two weeks the seat foam flattened. The seat foam was the weak point.
R00214,Really happy with this backpack. The quality is great and it arrived quickly. Recommended.
R00215,Excellent knife set. The quality is really good and it came fast. Recommended.
R00216,Been using this alongside an existing routine for about four months now and the pump dispenser has held up well. No complaints so far.
R00217,Worked fine at first but after three months the insole compressed flat. The toe box was the weak point.
R00218,"Very good, exactly what I wanted. Thanks!"
R00219,Been using this while swimming for about a month now and the strap pins has held up well. No complaints so far.
R00220,"Using it while swimming for about eight months. The crystal does exactly what it needs to, nothing fancy but it works."
R00221,Had this a month. Mainly use it with a laptop while travelling. The sensor is the part that impressed me most.
R00222,"Very good, exactly what I wanted. Thanks!"
R00223,Really happy with this backpack. The quality is great and it arrived quickly. Recommended.
R00224,"Bought it for floor workouts. The surface texture is better than I expected for the price, still solid after about eight months."
R00225,"Solid buy, no complaints at all."
R00226,Mixed feelings. The armrest is good but after a month the gas lift sank after a few weeks. Fine if you use it lightly.
R00227,Used it in a busy kitchen for half a year and then the edge dulled within a month. Disappointing for what it cost.
R00228,"Bought it on sensitive skin. The texture is better than I expected for the price, still solid after a month."
R00229,Used it as a daily watch for four months and then the crystal picked up a scratch. Disappointing for what it cost.
R00230,"Decent at a small house party, though stopped holding a charge after two weeks. The pairing button is still holding up at least."
R00231,"This speaker is great quality and arrived fast. Very happy with it, recommended."
R00232,Outstanding quality! Exceeded all my expectations. Fast delivery too. Recommended!
R00233,Decent product for the price. Satisfied.
R00234,Terrible product. Complete waste of money. Do not buy this. Very bad quality.
R00235,Worked fine at first but after half a year the zip split under load. The zip track was the weak point.
R00236,"This mat is great quality and arrived fast. Very happy with it, recommended."
R00237,"Very happy with this mouse. Great quality, quick delivery. Would recommend."
R00238,"Bought it for a formal event. The crystal is better than I expected for the price, still solid after two weeks."
R00239,"Using it for monthly work travel for half a year. The latches does exactly what it needs to, nothing fancy but it works."
R00240,"Does the job during workouts. Not perfect, battery life dropped noticeably eventually, but for the price it is acceptable."
R00241,"Great, arrived on time and works well."
R00242,Had it six weeks on a beach holiday. The frame has held up better than the last one I owned. Very pleased.
R00243,Amazing product! Excellent quality and superb value. Highly recommend to everyone!
R00244,Picked this up for carrying a laptop and a lunch box. After four months the zip pull shows no wear at all. Exactly what I hoped for.
R00245,"Using it for carrying gym kit for a month. The base fabric does exactly what it needs to, nothing fancy but it works."
R00246,Mixed feelings. The carry loop is good but after two weeks it stopped holding temperature. Fine if you use it lightly.
R00247,Been using this as a work bag for about two weeks now and the zip pull has held up well. No complaints so far.
R00248,"Using it as a check-in bag for six weeks. The zip track does exactly what it needs to, nothing fancy but it works."
R00249,"This speaker is great quality and arrived fast. Very happy with it, recommended."
R00250,"Good product, works fine. Happy with it."
R00251,Mixed feelings. The temple arms is good but after four months the arms lost their tension. Fine if you use it lightly.
R00252,Been using this for a formal event for about half a year now and the crystal has held up well. No complaints so far.
R00253,"Absolutely love it! Great product, great price, great seller. Buy it now!"
R00254,"Very good, exactly what I wanted. Thanks!"
R00255,"Using it in a car cup holder for six weeks. The inner coating does exactly what it needs to, nothing fancy but it works."
R00256,"Solid buy, no complaints at all."
R00257,"Bought it on a weekend trip. The base studs is better than I expected for the price, still solid after four months."
R00258,"Decent as a daily watch, though a strap pin sheared after a month. The strap pins is still holding up at least."
R00259,Had it about eight months for floor workouts. The edge binding has held up better than the last one I owned. Very pleased.
R00260,"Decent on a long airport day, though the sole started separating at the toe after two weeks. The laces is still holding up at least."
R00261,Really happy with this pair of sunglasses. The quality is great and it arrived quickly. Recommended.
R00262,"Bought it on a beach holiday. The temple arms is better than I expected for the price, still solid after six weeks."
R00263,Amazing product! Excellent quality and superb value. Highly recommend to everyone!
R00264,"Very good, exactly what I wanted. Thanks!"
R00265,Mixed feelings. The inner lining is good but after half a year it stretched and stopped gripping. Fine if you use it lightly.
R00266,Superb! Fantastic quality and amazing value for money. Very happy with this purchase!
R00267,"Decent as a work bag, though the zip started catching after three months. The zip pull is still holding up at least."
R00268,"Good product, works fine. Happy with it."
R00269,"Very happy with this bottle. Great quality, quick delivery. Would recommend."
R00270,Excellent! Very good product with superb finishing. Worth every penny!
R00271,"Absolutely love it! Great product, great price, great seller. Buy it now!"
R00272,About half a year in and a small chip appeared near the tip. The bolster clearly was not built for regular use.
R00273,Been using this as a check-in bag for a month and the spinner wheels still looks new. Genuinely impressed with the build.
R00274,About three months in and the grip went on wet floors. The toe box clearly was not built for regular use.
R00275,Had this three months. Mainly use it for daily college carry. The base fabric is the part that impressed me most.
R00276,"Bought it on wet pavement. Within four months the heel lining wore through, so I would not buy again."
R00277,Had this a month. Mainly use it in the shower. The battery is the part that impressed me most.
R00278,"Very happy with this set of earbuds. Great quality, quick delivery. Would recommend."
R00279,"Bought it in heavy rain. Within six weeks it soaked through in rain, so I would not buy again."
R00280,Worked fine at first but after three months a zip tooth broke. The base fabric was the weak point.
R00281,"Bought it on the balcony during a barbecue. The charging port is better than I expected for the price, still solid after four months."
R00282,Been using this through three connecting flights for about a month now and the telescopic handle has held up well. No complaints so far.
R00283,"Very good, exactly what I wanted. Thanks!"
R00284,Used it for monthly work travel for three months and then the zip split under load. Disappointing for what it cost.
R00285,Been using this for monthly work travel for about four months now and the spinner wheels has held up well. No complaints so far.
R00286,"Solid buy, no complaints at all."
R00287,"Bought it as a check-in bag. The telescopic handle is better than I expected for the price, still solid after two weeks."
R00288,"Does the job for driving. Not perfect, the nose pads discoloured eventually, but for the price it is acceptable."
R00289,"This set is great quality and arrived fast. Very happy with it, recommended."
R00290,"Nice quality, does the job. Recommend."
R00291,Been using this for daily pocket carry for about three months now and the corner bumpers has held up well. No complaints so far.
R00292,"Pretty good overall, would buy again."
R00293,Had this a month. Mainly use it on hikes. The lid gasket is the part that impressed me most.
R00294,"This mouse is great quality and arrived fast. Very happy with it, recommended."
R00295,"Using it for driving for a month. The hinge screws does exactly what it needs to, nothing fancy but it works."
R00296,"Great, arrived on time and works well."
R00297,"Bought it for daily commuting. The base studs is better than I expected for the price, still solid after three months."
R00298,"Perfect product, exactly as described. Excellent quality. Highly satisfied!"
R00299,Had this half a year. Mainly use it for long gaming sessions. The gas lift is the part that impressed me most.
R00300,"Great bottle, quality is excellent and delivery was quick. Happy to recommend."
R00301,Had this three months. Mainly use it while cooking dinner. The battery is the part that impressed me most.
R00302,"Bought it for daily commuting. Within six weeks a hinge screw worked loose, so I would not buy again."
R00303,"Great set of earbuds, quality is excellent and delivery was quick. Happy to recommend."
R00304,"Decent for gym sessions, though the sole started separating at the toe after about eight months. The heel counter is still holding up at least."
R00305,"Bought it through three connecting flights. Within two weeks a wheel seized, so I would not buy again."
R00306,Had this four months. Mainly use it as a work bag. The base studs is the part that impressed me most.
R00307,Worked fine at first but after half a year the foam compressed under the knees. The edge binding was the weak point.
R00308,"Does the job for a formal event. Not perfect, the clasp stopped locking properly eventually, but for the price it is acceptable."
R00309,"Great mat, quality is excellent and delivery was quick. Happy to recommend."
R00310,Really happy with this bag. The quality is great and it arrived quickly. Recommended.
R00311,"Works well, no issues so far. Good value."
R00312,Worked fine at first but after six weeks a zip tooth broke. The main zip was the weak point.
R00313,Excellent speaker. The quality is really good and it came fast. Recommended.
R00314,Used it on a hardwood floor for six weeks and then a permanent crease formed. Disappointing for what it cost.
R00315,Amazing product! Excellent quality and superb value. Highly recommend to everyone!
R00316,Excellent chair. The quality is really good and it came fast. Recommended.
R00317,Amazing product! Excellent quality and superb value. Highly recommend to everyone!
R00318,Had this a month. Mainly use it on a camping trip. The charging port is the part that impressed me most.
R00319,"Using it on wet pavement for half a year. The toe box does exactly what it needs to, nothing fancy but it works."
R00320,"Very good, exactly what I wanted. Thanks!"
R00321,Had this six weeks. Mainly use it in a home office. The seat foam is the part that impressed me most.
R00322,Outstanding quality! Exceeded all my expectations. Fast delivery too. Recommended!
R00323,"Bought it on a hardwood floor. The foam density is better than I expected for the price, still solid after four months."
R00324,Worked fine at first but after two weeks a side button stopped registering. The scroll wheel was the weak point.
R00325,"Absolutely love it! Great product, great price, great seller. Buy it now!"
R00326,Used it for daily office work for about eight months and then a side button stopped registering. Disappointing for what it cost.
R00327,"Very happy with this pair of shoes. Great quality, quick delivery. Would recommend."
R00328,"Good product, works fine. Happy with it."
R00329,Used it for monthly work travel for three months and then a wheel seized. Disappointing for what it cost.
R00330,"Solid buy, no complaints at all."
R00331,"This pair of shoes is great quality and arrived fast. Very happy with it, recommended."
R00332,Had this about eight months. Mainly use it for floor workouts. The foam density is the part that impressed me most.
R00333,Been using this in a car cup holder for about three months now and the lid gasket has held up well. No complaints so far.
R00334,Mixed feelings. The magnetic clasp is good but after about eight months the lining tore. Fine if you use it lightly.
R00335,Worked fine at first but after four months stopped holding a charge. The bass driver was the weak point.
R00336,Been using this for daily pocket carry for about six weeks now and the camera lip has held up well. No complaints so far.
R00337,Had this about eight months. Mainly use it for eight hour work days. The lumbar support is the part that impressed me most.
R00338,Decent product for the price. Satisfied.
R00339,Been using this for daily office work for about half a year now and the side buttons has held up well. No complaints so far.
R00340,Had this three months. Mainly use it alongside an existing routine. The consistency is the part that impressed me most.
R00341,Worked fine at first but after about eight months a side button stopped registering. The sensor was the weak point.
R00342,Excellent pair of sunglasses. The quality is really good and it came fast. Recommended.
R00343,"Very good, exactly what I wanted. Thanks!"
R00344,Had this half a year. Mainly use it for daily pocket carry. The camera lip is the part that impressed me most.
R00345,Been using this for daily vegetable prep for about about eight months now and the bolster has held up well. No complaints so far.
R00346,"This mouse is great quality and arrived fast. Very happy with it, recommended."
R00347,"Pretty good overall, would buy again."
R00348,Been using this on a camping trip for about about eight months now and the charging port has held up well. No complaints so far.
R00349,Been using this for monthly work travel for about three months now and the spinner wheels has held up well. No complaints so far.
R00350,"Bought it for driving. The lens coating is better than I expected for the price, still solid after two weeks."
R00351,"Bought it while swimming. Within three months the clasp stopped locking properly, so I would not buy again."
R00352,"Pretty good overall, would buy again."
R00353,Been using this for driving for about six weeks now and the hinge screws has held up well. No complaints so far.
R00354,"Bought it for floor workouts. Within two weeks the foam compressed under the knees, so I would not buy again."
R00355,"Solid buy, no complaints at all."
R00356,"Using it for daily morning practice for a month. The foam density does exactly what it needs to, nothing fancy but it works."
R00357,"Bought it on a hardwood floor. The edge binding is better than I expected for the price, still solid after two weeks."
R00358,Superb! Fantastic quality and amazing value for money. Very happy with this purchase!
R00359,"This mat is great quality and arrived fast. Very happy with it, recommended."
R00360,"Decent for work calls, though the case hinge went loose after two weeks. The mic is still holding up at least."
R00361,"Bought it on a camping trip. The rubber seal is better than I expected for the price, still solid after two weeks."
R00362,Excellent! Very good product with superb finishing. Worth every penny!
R00363,Picked this up in a car cup holder. After three months the inner coating shows no wear at all. Exactly what I hoped for.
R00364,"Bought it for daily pocket carry. The port cutout is better than I expected for the price, still solid after two weeks."
R00365,Had this about eight months. Mainly use it for carrying gym kit. The laptop sleeve is the part that impressed me most.
R00366,Using it for keeping tea hot at work for half a year now. The spout is well made and everything still works perfectly.
R00367,Really happy with this pair of sunglasses. The quality is great and it arrived quickly. Recommended.
R00368,"This knife set is great quality and arrived fast. Very happy with it, recommended."
R00369,Been using this for a daily walk to work for about a month now and the toe box has held up well. No complaints so far.
R00370,Decent product for the price. Satisfied.
R00371,Been using this for gaming for about about eight months now and the scroll wheel has held up well. No complaints so far.
R00372,Had this three months. Mainly use it on wet pavement. The heel counter is the part that impressed me most.
R00373,"Bought it for floor workouts. The foam density is better than I expected for the price, still solid after four months."
R00374,Been using this at the gym for about four months now and the bezel has held up well. No complaints so far.
R00375,Excellent! Very good product with superb finishing. Worth every penny!
R00376,"Decent alongside an existing routine, though it broke me out after a fortnight after a month. The texture is still holding up at least."
R00377,Been using this for gaming for about four months now and the side buttons has held up well. No complaints so far.
R00378,"Bought it with a screen protector fitted. Within a month the corners yellowed, so I would not buy again."
R00379,"Does the job while cycling. Not perfect, the coating started flaking eventually, but for the price it is acceptable."
R00380,Excellent! Very good product with superb finishing. Worth every penny!
R00381,Used it while cycling for about eight months and then the coating started flaking. Disappointing for what it cost.
R00382,"Bought it for carrying a laptop and a lunch box. The shoulder strap is better than I expected for the price, still solid after three months."
R00383,Had it a month for daily pocket carry. The camera lip has held up better than the last one I owned. Very pleased.
R00384,Mixed feelings. The castor wheels is good but after six weeks a castor cracked. Fine if you use it lightly.
R00385,Mixed feelings. The pump dispenser is good but after half a year the pump stopped drawing product. Fine if you use it lightly.
